"i","x","y"
146,-0.328125,-0.265625
141,-0.3203125,-0.2734375
147,-0.3203125,-0.265625
184,-0.3125,-0.2734375
190,-0.3125,-0.265625
144,-0.34375,-0.2578125
143,-0.3359375,-0.265625
145,-0.3359375,-0.2578125
148,-0.328125,-0.2578125
497,-0.34375,-0.25
498,-0.3359375,-0.25
183,-0.3046875,-0.28125
185,-0.3046875,-0.2734375
186,-0.296875,-0.28125
188,-0.296875,-0.2734375
187,-0.2890625,-0.28125
189,-0.2890625,-0.2734375
198,-0.28125,-0.28125
200,-0.28125,-0.2734375
199,-0.2734375,-0.28125
201,-0.2734375,-0.2734375
202,-0.265625,-0.28125
204,-0.265625,-0.2734375
203,-0.2578125,-0.28125
205,-0.2578125,-0.2734375
256,-0.25,-0.2734375
262,-0.25,-0.265625
257,-0.2421875,-0.2734375
263,-0.2421875,-0.265625
260,-0.234375,-0.2734375
266,-0.234375,-0.265625
261,-0.2265625,-0.2734375
267,-0.2265625,-0.265625
278,-0.21875,-0.265625
280,-0.21875,-0.2578125
279,-0.2109375,-0.265625
281,-0.2109375,-0.2578125
282,-0.203125,-0.265625
284,-0.203125,-0.2578125
285,-0.1953125,-0.2578125
859,-0.1953125,-0.25
300,-0.1875,-0.2578125
877,-0.1875,-0.25
878,-0.1796875,-0.25
376,-0.0078125,-0.3046875
374,0,-0.3125
377,0,-0.3046875
383,-0.0078125,-0.296875
384,0,-0.296875
386,-0.0078125,-0.2890625
387,0,-0.2890625
405,-0.015625,-0.28125
406,-0.0078125,-0.28125
412,-0.0234375,-0.265625
408,-0.015625,-0.2734375
415,-0.015625,-0.265625
409,-0.0078125,-0.2734375
414,-0.0234375,-0.2578125
418,-0.015625,-0.2578125
1025,-0.0234375,-0.25
1028,-0.015625,-0.25
488,-0.3515625,-0.2421875
499,-0.34375,-0.2421875
493,-0.359375,-0.234375
494,-0.3515625,-0.234375
495,-0.359375,-0.2265625
496,-0.3515625,-0.2265625
517,-0.359375,-0.21875
518,-0.3515625,-0.21875
519,-0.359375,-0.2109375
520,-0.3515625,-0.2109375
525,-0.359375,-0.203125
526,-0.3515625,-0.203125
527,-0.359375,-0.1953125
528,-0.3515625,-0.1953125
598,-0.3515625,-0.1875
609,-0.34375,-0.1875
600,-0.3515625,-0.1796875
611,-0.34375,-0.1796875
606,-0.3515625,-0.171875
617,-0.34375,-0.171875
619,-0.34375,-0.1640625
620,-0.3359375,-0.1640625
641,-0.34375,-0.15625
642,-0.3359375,-0.15625
644,-0.3359375,-0.1484375
647,-0.328125,-0.1484375
650,-0.3359375,-0.140625
653,-0.328125,-0.140625
655,-0.328125,-0.1328125
656,-0.3203125,-0.1328125
713,-0.3203125,-0.125
735,-0.3125,-0.125
737,-0.3125,-0.1171875
738,-0.3046875,-0.1171875
744,-0.3046875,-0.109375
747,-0.296875,-0.109375
746,-0.3046875,-0.1015625
749,-0.296875,-0.1015625
769,-0.296875,-0.09375
770,-0.2890625,-0.09375
772,-0.2890625,-0.0859375
783,-0.28125,-0.0859375
789,-0.28125,-0.078125
784,-0.2734375,-0.0859375
790,-0.2734375,-0.078125
793,-0.265625,-0.078125
795,-0.265625,-0.0703125
796,-0.2578125,-0.0703125
815,-0.2578125,-0.0625
1208,-0.25,-0.0625
1210,-0.25,-0.0546875
880,-0.1796875,-0.2421875
881,-0.171875,-0.25
883,-0.171875,-0.2421875
884,-0.1640625,-0.2421875
890,-0.1640625,-0.234375
901,-0.15625,-0.234375
903,-0.15625,-0.2265625
902,-0.1484375,-0.234375
904,-0.1484375,-0.2265625
907,-0.140625,-0.2265625
925,-0.140625,-0.21875
908,-0.1328125,-0.2265625
926,-0.1328125,-0.21875
976,-0.125,-0.21875
978,-0.125,-0.2109375
979,-0.1171875,-0.2109375
985,-0.1171875,-0.203125
988,-0.109375,-0.203125
990,-0.109375,-0.1953125
989,-0.1015625,-0.203125
991,-0.1015625,-0.1953125
1002,-0.09375,-0.1953125
1092,-0.09375,-0.1875
1093,-0.0859375,-0.1875
1023,-0.0390625,-0.2265625
1034,-0.03125,-0.234375
1036,-0.03125,-0.2265625
1049,-0.0390625,-0.21875
1060,-0.03125,-0.21875
1026,-0.03125,-0.2421875
1027,-0.0234375,-0.2421875
1035,-0.0234375,-0.234375
1051,-0.0390625,-0.2109375
1062,-0.03125,-0.2109375
1056,-0.046875,-0.203125
1057,-0.0390625,-0.203125
1058,-0.046875,-0.1953125
1059,-0.0390625,-0.1953125
1129,-0.046875,-0.1875
1130,-0.0390625,-0.1875
1095,-0.0859375,-0.1796875
1096,-0.078125,-0.1875
1098,-0.078125,-0.1796875
1099,-0.0703125,-0.1796875
1105,-0.0703125,-0.171875
1127,-0.0625,-0.1796875
1133,-0.0625,-0.171875
1128,-0.0546875,-0.1796875
1131,-0.046875,-0.1796875
1134,-0.0546875,-0.171875
1211,-0.2421875,-0.0546875
1217,-0.2421875,-0.046875
1214,-0.234375,-0.0546875
1220,-0.234375,-0.046875
1221,-0.2265625,-0.046875
1223,-0.2265625,-0.0390625
1234,-0.21875,-0.0390625
1260,-0.21875,-0.03125
1261,-0.2109375,-0.03125
1263,-0.2109375,-0.0234375
1264,-0.203125,-0.03125
1266,-0.203125,-0.0234375
1267,-0.1953125,-0.0234375
1275,-0.1953125,-0.015625
1299,-0.1875,-0.015625
1301,-0.1875,-0.0078125
1303,-0.1796875,-0.0078125
1302,-0.1875,0
1304,-0.1796875,0
1436,0.0546875,-0.3828125
1477,0.0625,-0.390625
1479,0.0625,-0.3828125
1648,0.046875,-0.375
1649,0.0546875,-0.375
1486,0.1015625,-0.40625
1467,0.109375,-0.4140625
1489,0.109375,-0.40625
1468,0.1171875,-0.4140625
1490,0.1171875,-0.40625
1566,0.125,-0.40625
1472,0.0703125,-0.3984375
1478,0.0703125,-0.390625
1475,0.078125,-0.3984375
1481,0.078125,-0.390625
1474,0.0859375,-0.40625
1476,0.0859375,-0.3984375
1485,0.09375,-0.40625
1487,0.09375,-0.3984375
1488,0.1015625,-0.3984375
1568,0.125,-0.3984375
1567,0.1328125,-0.40625
1569,0.1328125,-0.3984375
1570,0.140625,-0.40625
1572,0.140625,-0.3984375
1573,0.1484375,-0.3984375
1579,0.1484375,-0.390625
1590,0.15625,-0.390625
1592,0.15625,-0.3828125
1593,0.1640625,-0.3828125
1793,0.1640625,-0.375
1796,0.171875,-0.375
1643,0.0234375,-0.3515625
1652,0.03125,-0.359375
1654,0.03125,-0.3515625
1662,0.015625,-0.34375
1663,0.0234375,-0.34375
1647,0.0390625,-0.3671875
1650,0.046875,-0.3671875
1653,0.0390625,-0.359375
1666,0.0078125,-0.328125
1664,0.015625,-0.3359375
1668,0.015625,-0.328125
1665,0.0234375,-0.3359375
1667,0.0078125,-0.3203125
1670,0.015625,-0.3203125
1736,0.0078125,-0.3125
1795,0.1640625,-0.3671875
1798,0.171875,-0.3671875
1804,0.171875,-0.359375
1805,0.1796875,-0.359375
1806,0.171875,-0.3515625
1807,0.1796875,-0.3515625
1826,0.171875,-0.34375
1827,0.1796875,-0.34375
1829,0.1796875,-0.3359375
1860,0.1875,-0.3359375
1835,0.1796875,-0.328125
1866,0.1875,-0.328125
1837,0.1796875,-0.3203125
1868,0.1875,-0.3203125
1893,0.1796875,-0.3125
1930,0.1875,-0.3125
1895,0.1796875,-0.3046875
1932,0.1875,-0.3046875
1901,0.1796875,-0.296875
1938,0.1875,-0.296875
1903,0.1796875,-0.2890625
1940,0.1875,-0.2890625
1919,0.1796875,-0.28125
1950,0.1875,-0.28125
1921,0.1796875,-0.2734375
1952,0.1875,-0.2734375
1927,0.1796875,-0.265625
1958,0.1875,-0.265625
1929,0.1796875,-0.2578125
1960,0.1875,-0.2578125
2008,0.1796875,-0.25
2045,0.1875,-0.25
2009,0.171875,-0.2421875
2010,0.1796875,-0.2421875
2015,0.171875,-0.234375
2016,0.1796875,-0.234375
2017,0.171875,-0.2265625
2018,0.1796875,-0.2265625
2033,0.171875,-0.21875
2034,0.1796875,-0.21875
2038,0.1640625,-0.203125
2035,0.171875,-0.2109375
2041,0.171875,-0.203125
2036,0.1796875,-0.2109375
2040,0.1640625,-0.1953125
2043,0.171875,-0.1953125
2094,0.1640625,-0.1875
2097,0.171875,-0.1875
2114,0.1484375,-0.15625
2103,0.15625,-0.1640625
2125,0.15625,-0.15625
2095,0.15625,-0.1796875
2096,0.1640625,-0.1796875
2101,0.15625,-0.171875
2102,0.1640625,-0.171875
2104,0.1640625,-0.1640625
2116,0.1484375,-0.1484375
2127,0.15625,-0.1484375
2122,0.1484375,-0.140625
2133,0.15625,-0.140625
2124,0.1484375,-0.1328125
2135,0.15625,-0.1328125
2220,0.140625,-0.125
2221,0.1484375,-0.125
2222,0.140625,-0.1171875
2223,0.1484375,-0.1171875
2229,0.1484375,-0.109375
2240,0.15625,-0.109375
2242,0.15625,-0.1015625
2241,0.1640625,-0.109375
2243,0.1640625,-0.1015625
2246,0.171875,-0.1015625
2268,0.171875,-0.09375
2247,0.1796875,-0.1015625
2269,0.1796875,-0.09375
2290,0.1875,-0.1015625
2312,0.1875,-0.09375
2291,0.1953125,-0.1015625
2313,0.1953125,-0.09375
2294,0.203125,-0.1015625
2316,0.203125,-0.09375
2295,0.2109375,-0.1015625
2317,0.2109375,-0.09375
2306,0.21875,-0.1015625
2325,0.21875,-0.09375
2307,0.2265625,-0.1015625
2326,0.2265625,-0.09375
2310,0.234375,-0.1015625
2329,0.234375,-0.09375
2311,0.2421875,-0.1015625
2330,0.2421875,-0.09375
2379,0.25,-0.1015625
2401,0.25,-0.09375
2380,0.2578125,-0.1015625
2402,0.2578125,-0.09375
2383,0.265625,-0.1015625
2405,0.265625,-0.09375
2384,0.2734375,-0.1015625
2406,0.2734375,-0.09375
2395,0.28125,-0.1015625
2417,0.28125,-0.09375
2396,0.2890625,-0.1015625
2418,0.2890625,-0.09375
2421,0.296875,-0.09375
2423,0.296875,-0.0859375
2422,0.3046875,-0.09375
2424,0.3046875,-0.0859375
2463,0.3125,-0.09375
2465,0.3125,-0.0859375
2464,0.3203125,-0.09375
2466,0.3203125,-0.0859375
2467,0.328125,-0.09375
2469,0.328125,-0.0859375
2470,0.3359375,-0.0859375
2476,0.3359375,-0.078125
2481,0.34375,-0.0859375
2487,0.34375,-0.078125
2482,0.3515625,-0.0859375
2488,0.3515625,-0.078125
2491,0.359375,-0.078125
2493,0.359375,-0.0703125
2492,0.3671875,-0.078125
2494,0.3671875,-0.0703125
2587,0.375,-0.0703125
2622,0.375,-0.0625
2623,0.3828125,-0.0625
2625,0.3828125,-0.0546875
2626,0.390625,-0.0625
2628,0.390625,-0.0546875
2629,0.3984375,-0.0546875
2635,0.3984375,-0.046875
2646,0.40625,-0.046875
2648,0.40625,-0.0390625
2649,0.4140625,-0.0390625
2675,0.4140625,-0.03125
2678,0.421875,-0.03125
2677,0.4140625,-0.0234375
2680,0.421875,-0.0234375
2688,0.421875,-0.015625
2689,0.4296875,-0.015625
2690,0.421875,-0.0078125
2692,0.4296875,-0.0078125
2691,0.421875,0
2693,0.4296875,0
2868,-0.2578125,0.0625
3211,-0.25,0.0546875
3271,-0.25,0.0625
2989,-0.3203125,0.125
2889,-0.3125,0.1171875
3032,-0.3125,0.125
2862,-0.2890625,0.0859375
2871,-0.28125,0.078125
2873,-0.28125,0.0859375
2883,-0.296875,0.09375
2884,-0.2890625,0.09375
2872,-0.2734375,0.078125
2869,-0.265625,0.0703125
2875,-0.265625,0.078125
2870,-0.2578125,0.0703125
2874,-0.2734375,0.0859375
2882,-0.3046875,0.1015625
2885,-0.296875,0.1015625
2888,-0.3046875,0.109375
2891,-0.296875,0.109375
2890,-0.3046875,0.1171875
2993,-0.3359375,0.140625
2990,-0.328125,0.1328125
2996,-0.328125,0.140625
2991,-0.3203125,0.1328125
2995,-0.3359375,0.1484375
2998,-0.328125,0.1484375
3016,-0.34375,0.15625
3017,-0.3359375,0.15625
3013,-0.3515625,0.171875
3018,-0.34375,0.1640625
3024,-0.34375,0.171875
3015,-0.3515625,0.1796875
3026,-0.34375,0.1796875
3074,-0.3515625,0.1875
3085,-0.34375,0.1875
3019,-0.3359375,0.1640625
3075,-0.359375,0.1953125
3076,-0.3515625,0.1953125
3081,-0.359375,0.203125
3082,-0.3515625,0.203125
3083,-0.359375,0.2109375
3084,-0.3515625,0.2109375
3105,-0.359375,0.21875
3106,-0.3515625,0.21875
3107,-0.359375,0.2265625
3108,-0.3515625,0.2265625
3113,-0.359375,0.234375
3114,-0.3515625,0.234375
3116,-0.3515625,0.2421875
3127,-0.34375,0.2421875
3684,-0.34375,0.25
3685,-0.3359375,0.25
3198,-0.1953125,0.015625
3233,-0.1875,0.0078125
3237,-0.1875,0.015625
3217,-0.21875,0.03125
3196,-0.2109375,0.0234375
3218,-0.2109375,0.03125
3199,-0.203125,0.0234375
3221,-0.203125,0.03125
3200,-0.1953125,0.0234375
3208,-0.2265625,0.0390625
3219,-0.21875,0.0390625
3213,-0.234375,0.046875
3214,-0.2265625,0.046875
3210,-0.2421875,0.046875
3212,-0.2421875,0.0546875
3215,-0.234375,0.0546875
3234,-0.1796875,0.0078125
3390,-0.1328125,0.21875
3514,-0.125,0.2109375
3536,-0.125,0.21875
3382,-0.1640625,0.234375
3387,-0.15625,0.2265625
3393,-0.15625,0.234375
3903,-0.1875,0.25
3380,-0.1796875,0.2421875
3904,-0.1796875,0.25
3383,-0.171875,0.2421875
3907,-0.171875,0.25
3384,-0.1640625,0.2421875
3388,-0.1484375,0.2265625
3389,-0.140625,0.21875
3391,-0.140625,0.2265625
3394,-0.1484375,0.234375
3392,-0.1328125,0.2265625
3520,-0.09375,0.1875
3439,-0.0859375,0.1796875
3521,-0.0859375,0.1875
3442,-0.078125,0.1796875
3524,-0.078125,0.1875
3441,-0.0703125,0.171875
3443,-0.0703125,0.1796875
3482,-0.0625,0.171875
3484,-0.0625,0.1796875
3483,-0.0546875,0.171875
3485,-0.0546875,0.1796875
3488,-0.046875,0.1796875
3571,-0.046875,0.1875
3572,-0.0390625,0.1875
3513,-0.1171875,0.203125
3510,-0.109375,0.1953125
3516,-0.109375,0.203125
3511,-0.1015625,0.1953125
3522,-0.09375,0.1953125
3517,-0.1015625,0.203125
3515,-0.1171875,0.2109375
3573,-0.046875,0.1953125
3574,-0.0390625,0.1953125
3579,-0.046875,0.203125
3580,-0.0390625,0.203125
3582,-0.0390625,0.2109375
3592,-0.03125,0.2109375
3605,-0.0390625,0.21875
3616,-0.03125,0.21875
3607,-0.0390625,0.2265625
3618,-0.03125,0.2265625
3626,-0.03125,0.234375
3627,-0.0234375,0.234375
3628,-0.03125,0.2421875
3629,-0.0234375,0.2421875
3974,-0.0234375,0.25
3977,-0.015625,0.25
3686,-0.34375,0.2578125
3687,-0.3359375,0.2578125
3693,-0.3359375,0.265625
3690,-0.328125,0.2578125
3696,-0.328125,0.265625
3697,-0.3203125,0.265625
3699,-0.3203125,0.2734375
3740,-0.3125,0.265625
3742,-0.3125,0.2734375
3743,-0.3046875,0.2734375
3765,-0.3046875,0.28125
3746,-0.296875,0.2734375
3768,-0.296875,0.28125
3747,-0.2890625,0.2734375
3769,-0.2890625,0.28125
3758,-0.28125,0.2734375
3780,-0.28125,0.28125
3759,-0.2734375,0.2734375
3781,-0.2734375,0.28125
3762,-0.265625,0.2734375
3784,-0.265625,0.28125
3763,-0.2578125,0.2734375
3850,-0.25,0.265625
